template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
1,Planet in Sign,Natal Components,الشمس,الحمل,,T01_Sun_Aries,Sun expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الثور,,T01_Sun_Taurus,Sun expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الجوزاء,,T01_Sun_Gemini,Sun expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,السرطان,,T01_Sun_Cancer,Sun expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الأسد,,T01_Sun_Leo,Sun expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,العذراء,,T01_Sun_Virgo,Sun expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الميزان,,T01_Sun_Libra,Sun expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,العقرب,,T01_Sun_Scorpio,Sun expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,القوس,,T01_Sun_Sagittarius,Sun expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الجدي,,T01_Sun_Capricorn,Sun expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الدلو,,T01_Sun_Aquarius,Sun expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,الشمس,الحوت,,T01_Sun_Pisces,Sun expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الحمل,,T01_Moon_Aries,Moon expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الثور,,T01_Moon_Taurus,Moon expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الجوزاء,,T01_Moon_Gemini,Moon expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,القمر,السرطان,,T01_Moon_Cancer,Moon expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الأسد,,T01_Moon_Leo,Moon expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,القمر,العذراء,,T01_Moon_Virgo,Moon expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الميزان,,T01_Moon_Libra,Moon expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,القمر,العقرب,,T01_Moon_Scorpio,Moon expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,القمر,القوس,,T01_Moon_Sagittarius,Moon expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الجدي,,T01_Moon_Capricorn,Moon expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الدلو,,T01_Moon_Aquarius,Moon expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,القمر,الحوت,,T01_Moon_Pisces,Moon expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,عطارد,الحمل,,T01_Mercury_Aries,Mercury expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,عطارد,الثور,,T01_Mercury_Taurus,Mercury expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,عطارد,الجوزاء,,T01_Mercury_Gemini,Mercury expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,عطارد,السرطان,,T01_Mercury_Cancer,Mercury expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,عطارد,الأسد,,T01_Mercury_Leo,Mercury expressing through Leo,,,,,pending,
