template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
1,Planet in Sign,Natal Components,المشتري,الحمل,,T01_Jupiter_Aries,Jupiter expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الثور,,T01_Jupiter_Taurus,Jupiter expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الجوزاء,,T01_Jupiter_Gemini,Jupiter expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,السرطان,,T01_Jupiter_Cancer,Jupiter expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الأسد,,T01_Jupiter_Leo,Jupiter expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,العذراء,,T01_Jupiter_Virgo,Jupiter expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الميزان,,T01_Jupiter_Libra,Jupiter expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,العقرب,,T01_Jupiter_Scorpio,Jupiter expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,القوس,,T01_Jupiter_Sagittarius,Jupiter expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الجدي,,T01_Jupiter_Capricorn,Jupiter expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الدلو,,T01_Jupiter_Aquarius,Jupiter expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,المشتري,الحوت,,T01_Jupiter_Pisces,Jupiter expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الحمل,,T01_Saturn_Aries,Saturn expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الثور,,T01_Saturn_Taurus,Saturn expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الجوزاء,,T01_Saturn_Gemini,Saturn expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,زحل,السرطان,,T01_Saturn_Cancer,Saturn expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الأسد,,T01_Saturn_Leo,Saturn expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,زحل,العذراء,,T01_Saturn_Virgo,Saturn expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الميزان,,T01_Saturn_Libra,Saturn expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,زحل,العقرب,,T01_Saturn_Scorpio,Saturn expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,زحل,القوس,,T01_Saturn_Sagittarius,Saturn expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الجدي,,T01_Saturn_Capricorn,Saturn expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الدلو,,T01_Saturn_Aquarius,Saturn expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,زحل,الحوت,,T01_Saturn_Pisces,Saturn expressing through Pisces,,,,,pending,
