template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
1,Planet in Sign,Natal Components,أورانوس,الحمل,,T01_Uranus_Aries,Uranus expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الثور,,T01_Uranus_Taurus,Uranus expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الجوزاء,,T01_Uranus_Gemini,Uranus expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,السرطان,,T01_Uranus_Cancer,Uranus expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الأسد,,T01_Uranus_Leo,Uranus expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,العذراء,,T01_Uranus_Virgo,Uranus expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الميزان,,T01_Uranus_Libra,Uranus expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,العقرب,,T01_Uranus_Scorpio,Uranus expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,القوس,,T01_Uranus_Sagittarius,Uranus expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الجدي,,T01_Uranus_Capricorn,Uranus expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الدلو,,T01_Uranus_Aquarius,Uranus expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,أورانوس,الحوت,,T01_Uranus_Pisces,Uranus expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الحمل,,T01_Neptune_Aries,Neptune expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الثور,,T01_Neptune_Taurus,Neptune expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الجوزاء,,T01_Neptune_Gemini,Neptune expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,السرطان,,T01_Neptune_Cancer,Neptune expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الأسد,,T01_Neptune_Leo,Neptune expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,العذراء,,T01_Neptune_Virgo,Neptune expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الميزان,,T01_Neptune_Libra,Neptune expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,العقرب,,T01_Neptune_Scorpio,Neptune expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,القوس,,T01_Neptune_Sagittarius,Neptune expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الجدي,,T01_Neptune_Capricorn,Neptune expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الدلو,,T01_Neptune_Aquarius,Neptune expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,نبتون,الحوت,,T01_Neptune_Pisces,Neptune expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الحمل,,T01_Pluto_Aries,Pluto expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الثور,,T01_Pluto_Taurus,Pluto expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الجوزاء,,T01_Pluto_Gemini,Pluto expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,السرطان,,T01_Pluto_Cancer,Pluto expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الأسد,,T01_Pluto_Leo,Pluto expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,العذراء,,T01_Pluto_Virgo,Pluto expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الميزان,,T01_Pluto_Libra,Pluto expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,العقرب,,T01_Pluto_Scorpio,Pluto expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,القوس,,T01_Pluto_Sagittarius,Pluto expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الجدي,,T01_Pluto_Capricorn,Pluto expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الدلو,,T01_Pluto_Aquarius,Pluto expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,بلوتو,الحوت,,T01_Pluto_Pisces,Pluto expressing through Pisces,,,,,pending,
