template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
1,Planet in Sign,Natal Components,كيرون,الحمل,,T01_Chiron_Aries,Chiron expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الثور,,T01_Chiron_Taurus,Chiron expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الجوزاء,,T01_Chiron_Gemini,Chiron expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,السرطان,,T01_Chiron_Cancer,Chiron expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الأسد,,T01_Chiron_Leo,Chiron expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,العذراء,,T01_Chiron_Virgo,Chiron expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الميزان,,T01_Chiron_Libra,Chiron expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,العقرب,,T01_Chiron_Scorpio,Chiron expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,القوس,,T01_Chiron_Sagittarius,Chiron expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الجدي,,T01_Chiron_Capricorn,Chiron expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الدلو,,T01_Chiron_Aquarius,Chiron expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,كيرون,الحوت,,T01_Chiron_Pisces,Chiron expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الحمل,,T01_NorthNode_Aries,North Node expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الثور,,T01_NorthNode_Taurus,North Node expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الجوزاء,,T01_NorthNode_Gemini,North Node expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,السرطان,,T01_NorthNode_Cancer,North Node expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الأسد,,T01_NorthNode_Leo,North Node expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,العذراء,,T01_NorthNode_Virgo,North Node expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الميزان,,T01_NorthNode_Libra,North Node expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,العقرب,,T01_NorthNode_Scorpio,North Node expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,القوس,,T01_NorthNode_Sagittarius,North Node expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الجدي,,T01_NorthNode_Capricorn,North Node expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الدلو,,T01_NorthNode_Aquarius,North Node expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الشمالية,الحوت,,T01_NorthNode_Pisces,North Node expressing through Pisces,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الحمل,,T01_SouthNode_Aries,South Node expressing through Aries,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الثور,,T01_SouthNode_Taurus,South Node expressing through Taurus,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الجوزاء,,T01_SouthNode_Gemini,South Node expressing through Gemini,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,السرطان,,T01_SouthNode_Cancer,South Node expressing through Cancer,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الأسد,,T01_SouthNode_Leo,South Node expressing through Leo,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,العذراء,,T01_SouthNode_Virgo,South Node expressing through Virgo,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الميزان,,T01_SouthNode_Libra,South Node expressing through Libra,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,العقرب,,T01_SouthNode_Scorpio,South Node expressing through Scorpio,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,القوس,,T01_SouthNode_Sagittarius,South Node expressing through Sagittarius,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الجدي,,T01_SouthNode_Capricorn,South Node expressing through Capricorn,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الدلو,,T01_SouthNode_Aquarius,South Node expressing through Aquarius,,,,,pending,
1,Planet in Sign,Natal Components,العقدة الجنوبية,الحوت,,T01_SouthNode_Pisces,South Node expressing through Pisces,,,,,pending,
