template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
2,Planet in House,Natal Components,الشمس,,البيت 1,T02_Sun_H1,Sun acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 2,T02_Sun_H2,Sun acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 3,T02_Sun_H3,Sun acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 4,T02_Sun_H4,Sun acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 5,T02_Sun_H5,Sun acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 6,T02_Sun_H6,Sun acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 7,T02_Sun_H7,Sun acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 8,T02_Sun_H8,Sun acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 9,T02_Sun_H9,Sun acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 10,T02_Sun_H10,Sun acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 11,T02_Sun_H11,Sun acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,الشمس,,البيت 12,T02_Sun_H12,Sun acting in life area of House 12,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 1,T02_Moon_H1,Moon acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 2,T02_Moon_H2,Moon acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 3,T02_Moon_H3,Moon acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 4,T02_Moon_H4,Moon acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 5,T02_Moon_H5,Moon acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 6,T02_Moon_H6,Moon acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 7,T02_Moon_H7,Moon acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 8,T02_Moon_H8,Moon acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 9,T02_Moon_H9,Moon acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 10,T02_Moon_H10,Moon acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 11,T02_Moon_H11,Moon acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,القمر,,البيت 12,T02_Moon_H12,Moon acting in life area of House 12,,,,,pending,
2,Planet in House,Natal Components,عطارد,,البيت 1,T02_Mercury_H1,Mercury acting in life area of House 1,,,,,pending,
