template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
2,Planet in House,Natal Components,المشتري,,البيت 1,T02_Jupiter_H1,Jupiter acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 2,T02_Jupiter_H2,Jupiter acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 3,T02_Jupiter_H3,Jupiter acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 4,T02_Jupiter_H4,Jupiter acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 5,T02_Jupiter_H5,Jupiter acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 6,T02_Jupiter_H6,Jupiter acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 7,T02_Jupiter_H7,Jupiter acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 8,T02_Jupiter_H8,Jupiter acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 9,T02_Jupiter_H9,Jupiter acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 10,T02_Jupiter_H10,Jupiter acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 11,T02_Jupiter_H11,Jupiter acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,المشتري,,البيت 12,T02_Jupiter_H12,Jupiter acting in life area of House 12,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 1,T02_Saturn_H1,Saturn acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 2,T02_Saturn_H2,Saturn acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 3,T02_Saturn_H3,Saturn acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 4,T02_Saturn_H4,Saturn acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 5,T02_Saturn_H5,Saturn acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 6,T02_Saturn_H6,Saturn acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 7,T02_Saturn_H7,Saturn acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 8,T02_Saturn_H8,Saturn acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 9,T02_Saturn_H9,Saturn acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 10,T02_Saturn_H10,Saturn acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 11,T02_Saturn_H11,Saturn acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,زحل,,البيت 12,T02_Saturn_H12,Saturn acting in life area of House 12,,,,,pending,
