template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
2,Planet in House,Natal Components,أورانوس,,البيت 1,T02_Uranus_H1,Uranus acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 2,T02_Uranus_H2,Uranus acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 3,T02_Uranus_H3,Uranus acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 4,T02_Uranus_H4,Uranus acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 5,T02_Uranus_H5,Uranus acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 6,T02_Uranus_H6,Uranus acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 7,T02_Uranus_H7,Uranus acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 8,T02_Uranus_H8,Uranus acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 9,T02_Uranus_H9,Uranus acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 10,T02_Uranus_H10,Uranus acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 11,T02_Uranus_H11,Uranus acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,أورانوس,,البيت 12,T02_Uranus_H12,Uranus acting in life area of House 12,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 1,T02_Neptune_H1,Neptune acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 2,T02_Neptune_H2,Neptune acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 3,T02_Neptune_H3,Neptune acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 4,T02_Neptune_H4,Neptune acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 5,T02_Neptune_H5,Neptune acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 6,T02_Neptune_H6,Neptune acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 7,T02_Neptune_H7,Neptune acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 8,T02_Neptune_H8,Neptune acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 9,T02_Neptune_H9,Neptune acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 10,T02_Neptune_H10,Neptune acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 11,T02_Neptune_H11,Neptune acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,نبتون,,البيت 12,T02_Neptune_H12,Neptune acting in life area of House 12,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 1,T02_Pluto_H1,Pluto acting in life area of House 1,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 2,T02_Pluto_H2,Pluto acting in life area of House 2,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 3,T02_Pluto_H3,Pluto acting in life area of House 3,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 4,T02_Pluto_H4,Pluto acting in life area of House 4,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 5,T02_Pluto_H5,Pluto acting in life area of House 5,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 6,T02_Pluto_H6,Pluto acting in life area of House 6,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 7,T02_Pluto_H7,Pluto acting in life area of House 7,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 8,T02_Pluto_H8,Pluto acting in life area of House 8,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 9,T02_Pluto_H9,Pluto acting in life area of House 9,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 10,T02_Pluto_H10,Pluto acting in life area of House 10,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 11,T02_Pluto_H11,Pluto acting in life area of House 11,,,,,pending,
2,Planet in House,Natal Components,بلوتو,,البيت 12,T02_Pluto_H12,Pluto acting in life area of House 12,,,,,pending,
