template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
3,Planet Conjunct Angle,Natal Components,الشمس,الطالع (ASC),,T03_Sun_ASC,Sun on the ASC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الشمس,الداسن (DSC),,T03_Sun_DSC,Sun on the DSC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الشمس,وسط السماء (MC),,T03_Sun_MC,Sun on the MC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الشمس,قاع السماء (IC),,T03_Sun_IC,Sun on the IC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,القمر,الطالع (ASC),,T03_Moon_ASC,Moon on the ASC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,القمر,الداسن (DSC),,T03_Moon_DSC,Moon on the DSC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,القمر,وسط السماء (MC),,T03_Moon_MC,Moon on the MC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,القمر,قاع السماء (IC),,T03_Moon_IC,Moon on the IC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,عطارد,الطالع (ASC),,T03_Mercury_ASC,Mercury on the ASC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,عطارد,الداسن (DSC),,T03_Mercury_DSC,Mercury on the DSC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,عطارد,وسط السماء (MC),,T03_Mercury_MC,Mercury on the MC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,عطارد,قاع السماء (IC),,T03_Mercury_IC,Mercury on the IC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الزهرة,الطالع (ASC),,T03_Venus_ASC,Venus on the ASC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الزهرة,الداسن (DSC),,T03_Venus_DSC,Venus on the DSC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الزهرة,وسط السماء (MC),,T03_Venus_MC,Venus on the MC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,الزهرة,قاع السماء (IC),,T03_Venus_IC,Venus on the IC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,المريخ,الطالع (ASC),,T03_Mars_ASC,Mars on the ASC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,المريخ,الداسن (DSC),,T03_Mars_DSC,Mars on the DSC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,المريخ,وسط السماء (MC),,T03_Mars_MC,Mars on the MC — highest biographical weight,,,,,pending,
3,Planet Conjunct Angle,Natal Components,المريخ,قاع السماء (IC),,T03_Mars_IC,Mars on the IC — highest biographical weight,,,,,pending,
