template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
4,Planet Conjunct Planet,Natal Components,الشمس,القمر,اقتران,T04_Sun_Moon,Conjunction of Sun and Moon,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,عطارد,اقتران,T04_Sun_Mercury,Conjunction of Sun and Mercury,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,الزهرة,اقتران,T04_Sun_Venus,Conjunction of Sun and Venus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,المريخ,اقتران,T04_Sun_Mars,Conjunction of Sun and Mars,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,المشتري,اقتران,T04_Sun_Jupiter,Conjunction of Sun and Jupiter,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,زحل,اقتران,T04_Sun_Saturn,Conjunction of Sun and Saturn,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,أورانوس,اقتران,T04_Sun_Uranus,Conjunction of Sun and Uranus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,نبتون,اقتران,T04_Sun_Neptune,Conjunction of Sun and Neptune,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,بلوتو,اقتران,T04_Sun_Pluto,Conjunction of Sun and Pluto,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,كيرون,اقتران,T04_Sun_Chiron,Conjunction of Sun and Chiron,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,العقدة الشمالية,اقتران,T04_Sun_NorthNode,Conjunction of Sun and North Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الشمس,العقدة الجنوبية,اقتران,T04_Sun_SouthNode,Conjunction of Sun and South Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,عطارد,اقتران,T04_Moon_Mercury,Conjunction of Moon and Mercury,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,الزهرة,اقتران,T04_Moon_Venus,Conjunction of Moon and Venus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,المريخ,اقتران,T04_Moon_Mars,Conjunction of Moon and Mars,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,المشتري,اقتران,T04_Moon_Jupiter,Conjunction of Moon and Jupiter,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,زحل,اقتران,T04_Moon_Saturn,Conjunction of Moon and Saturn,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,أورانوس,اقتران,T04_Moon_Uranus,Conjunction of Moon and Uranus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,نبتون,اقتران,T04_Moon_Neptune,Conjunction of Moon and Neptune,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,بلوتو,اقتران,T04_Moon_Pluto,Conjunction of Moon and Pluto,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,كيرون,اقتران,T04_Moon_Chiron,Conjunction of Moon and Chiron,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,العقدة الشمالية,اقتران,T04_Moon_NorthNode,Conjunction of Moon and North Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,القمر,العقدة الجنوبية,اقتران,T04_Moon_SouthNode,Conjunction of Moon and South Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,الزهرة,اقتران,T04_Mercury_Venus,Conjunction of Mercury and Venus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,المريخ,اقتران,T04_Mercury_Mars,Conjunction of Mercury and Mars,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,المشتري,اقتران,T04_Mercury_Jupiter,Conjunction of Mercury and Jupiter,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,زحل,اقتران,T04_Mercury_Saturn,Conjunction of Mercury and Saturn,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,أورانوس,اقتران,T04_Mercury_Uranus,Conjunction of Mercury and Uranus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,نبتون,اقتران,T04_Mercury_Neptune,Conjunction of Mercury and Neptune,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,بلوتو,اقتران,T04_Mercury_Pluto,Conjunction of Mercury and Pluto,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,كيرون,اقتران,T04_Mercury_Chiron,Conjunction of Mercury and Chiron,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,العقدة الشمالية,اقتران,T04_Mercury_NorthNode,Conjunction of Mercury and North Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,عطارد,العقدة الجنوبية,اقتران,T04_Mercury_SouthNode,Conjunction of Mercury and South Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,المريخ,اقتران,T04_Venus_Mars,Conjunction of Venus and Mars,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,المشتري,اقتران,T04_Venus_Jupiter,Conjunction of Venus and Jupiter,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,زحل,اقتران,T04_Venus_Saturn,Conjunction of Venus and Saturn,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,أورانوس,اقتران,T04_Venus_Uranus,Conjunction of Venus and Uranus,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,نبتون,اقتران,T04_Venus_Neptune,Conjunction of Venus and Neptune,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,بلوتو,اقتران,T04_Venus_Pluto,Conjunction of Venus and Pluto,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,كيرون,اقتران,T04_Venus_Chiron,Conjunction of Venus and Chiron,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,العقدة الشمالية,اقتران,T04_Venus_NorthNode,Conjunction of Venus and North Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,الزهرة,العقدة الجنوبية,اقتران,T04_Venus_SouthNode,Conjunction of Venus and South Node,,,,,pending,
4,Planet Conjunct Planet,Natal Components,المريخ,المشتري,اقتران,T04_Mars_Jupiter,Conjunction of Mars and Jupiter,,,,,pending,
