template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 1,T05_Aries_cusp_H1,Aries on cusp of House 1,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 2,T05_Aries_cusp_H2,Aries on cusp of House 2,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 3,T05_Aries_cusp_H3,Aries on cusp of House 3,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 4,T05_Aries_cusp_H4,Aries on cusp of House 4,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 5,T05_Aries_cusp_H5,Aries on cusp of House 5,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 6,T05_Aries_cusp_H6,Aries on cusp of House 6,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 1,T05_Taurus_cusp_H1,Taurus on cusp of House 1,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 2,T05_Taurus_cusp_H2,Taurus on cusp of House 2,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 3,T05_Taurus_cusp_H3,Taurus on cusp of House 3,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 4,T05_Taurus_cusp_H4,Taurus on cusp of House 4,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 5,T05_Taurus_cusp_H5,Taurus on cusp of House 5,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 6,T05_Taurus_cusp_H6,Taurus on cusp of House 6,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 1,T05_Gemini_cusp_H1,Gemini on cusp of House 1,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 2,T05_Gemini_cusp_H2,Gemini on cusp of House 2,,,,,pending,
