template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 7,T05_Aries_cusp_H7,Aries on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 8,T05_Aries_cusp_H8,Aries on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 9,T05_Aries_cusp_H9,Aries on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 10,T05_Aries_cusp_H10,Aries on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 11,T05_Aries_cusp_H11,Aries on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الحمل,,رأس البيت 12,T05_Aries_cusp_H12,Aries on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 7,T05_Taurus_cusp_H7,Taurus on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 8,T05_Taurus_cusp_H8,Taurus on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 9,T05_Taurus_cusp_H9,Taurus on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 10,T05_Taurus_cusp_H10,Taurus on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 11,T05_Taurus_cusp_H11,Taurus on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الثور,,رأس البيت 12,T05_Taurus_cusp_H12,Taurus on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 7,T05_Gemini_cusp_H7,Gemini on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 8,T05_Gemini_cusp_H8,Gemini on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 9,T05_Gemini_cusp_H9,Gemini on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 10,T05_Gemini_cusp_H10,Gemini on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 11,T05_Gemini_cusp_H11,Gemini on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الجوزاء,,رأس البيت 12,T05_Gemini_cusp_H12,Gemini on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 7,T05_Cancer_cusp_H7,Cancer on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 8,T05_Cancer_cusp_H8,Cancer on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 9,T05_Cancer_cusp_H9,Cancer on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 10,T05_Cancer_cusp_H10,Cancer on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 11,T05_Cancer_cusp_H11,Cancer on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,السرطان,,رأس البيت 12,T05_Cancer_cusp_H12,Cancer on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 7,T05_Leo_cusp_H7,Leo on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 8,T05_Leo_cusp_H8,Leo on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 9,T05_Leo_cusp_H9,Leo on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 10,T05_Leo_cusp_H10,Leo on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 11,T05_Leo_cusp_H11,Leo on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الأسد,,رأس البيت 12,T05_Leo_cusp_H12,Leo on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 7,T05_Virgo_cusp_H7,Virgo on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 8,T05_Virgo_cusp_H8,Virgo on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 9,T05_Virgo_cusp_H9,Virgo on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 10,T05_Virgo_cusp_H10,Virgo on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 11,T05_Virgo_cusp_H11,Virgo on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,العذراء,,رأس البيت 12,T05_Virgo_cusp_H12,Virgo on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 7,T05_Libra_cusp_H7,Libra on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 8,T05_Libra_cusp_H8,Libra on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 9,T05_Libra_cusp_H9,Libra on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 10,T05_Libra_cusp_H10,Libra on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 11,T05_Libra_cusp_H11,Libra on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الميزان,,رأس البيت 12,T05_Libra_cusp_H12,Libra on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 7,T05_Scorpio_cusp_H7,Scorpio on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 8,T05_Scorpio_cusp_H8,Scorpio on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 9,T05_Scorpio_cusp_H9,Scorpio on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 10,T05_Scorpio_cusp_H10,Scorpio on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 11,T05_Scorpio_cusp_H11,Scorpio on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,العقرب,,رأس البيت 12,T05_Scorpio_cusp_H12,Scorpio on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 7,T05_Sagittarius_cusp_H7,Sagittarius on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 8,T05_Sagittarius_cusp_H8,Sagittarius on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 9,T05_Sagittarius_cusp_H9,Sagittarius on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 10,T05_Sagittarius_cusp_H10,Sagittarius on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 11,T05_Sagittarius_cusp_H11,Sagittarius on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,القوس,,رأس البيت 12,T05_Sagittarius_cusp_H12,Sagittarius on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 7,T05_Capricorn_cusp_H7,Capricorn on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 8,T05_Capricorn_cusp_H8,Capricorn on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 9,T05_Capricorn_cusp_H9,Capricorn on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 10,T05_Capricorn_cusp_H10,Capricorn on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 11,T05_Capricorn_cusp_H11,Capricorn on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الجدي,,رأس البيت 12,T05_Capricorn_cusp_H12,Capricorn on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 7,T05_Aquarius_cusp_H7,Aquarius on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 8,T05_Aquarius_cusp_H8,Aquarius on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 9,T05_Aquarius_cusp_H9,Aquarius on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 10,T05_Aquarius_cusp_H10,Aquarius on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 11,T05_Aquarius_cusp_H11,Aquarius on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الدلو,,رأس البيت 12,T05_Aquarius_cusp_H12,Aquarius on cusp of House 12,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 7,T05_Pisces_cusp_H7,Pisces on cusp of House 7,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 8,T05_Pisces_cusp_H8,Pisces on cusp of House 8,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 9,T05_Pisces_cusp_H9,Pisces on cusp of House 9,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 10,T05_Pisces_cusp_H10,Pisces on cusp of House 10,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 11,T05_Pisces_cusp_H11,Pisces on cusp of House 11,,,,,pending,
5,Sign on House Cusp,Natal Components,الحوت,,رأس البيت 12,T05_Pisces_cusp_H12,Pisces on cusp of House 12,,,,,pending,
