template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
6,Stellium in Sign,Natal Components,الحمل,,,T06_Stellium_Aries,3+ planets concentrated in Aries,,,,,pending,
6,Stellium in Sign,Natal Components,الثور,,,T06_Stellium_Taurus,3+ planets concentrated in Taurus,,,,,pending,
6,Stellium in Sign,Natal Components,الجوزاء,,,T06_Stellium_Gemini,3+ planets concentrated in Gemini,,,,,pending,
6,Stellium in Sign,Natal Components,السرطان,,,T06_Stellium_Cancer,3+ planets concentrated in Cancer,,,,,pending,
6,Stellium in Sign,Natal Components,الأسد,,,T06_Stellium_Leo,3+ planets concentrated in Leo,,,,,pending,
6,Stellium in Sign,Natal Components,العذراء,,,T06_Stellium_Virgo,3+ planets concentrated in Virgo,,,,,pending,
6,Stellium in Sign,Natal Components,الميزان,,,T06_Stellium_Libra,3+ planets concentrated in Libra,,,,,pending,
6,Stellium in Sign,Natal Components,العقرب,,,T06_Stellium_Scorpio,3+ planets concentrated in Scorpio,,,,,pending,
6,Stellium in Sign,Natal Components,القوس,,,T06_Stellium_Sagittarius,3+ planets concentrated in Sagittarius,,,,,pending,
6,Stellium in Sign,Natal Components,الجدي,,,T06_Stellium_Capricorn,3+ planets concentrated in Capricorn,,,,,pending,
6,Stellium in Sign,Natal Components,الدلو,,,T06_Stellium_Aquarius,3+ planets concentrated in Aquarius,,,,,pending,
6,Stellium in Sign,Natal Components,الحوت,,,T06_Stellium_Pisces,3+ planets concentrated in Pisces,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 1,T06_Stellium_H1,3+ planets concentrated in House 1,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 2,T06_Stellium_H2,3+ planets concentrated in House 2,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 3,T06_Stellium_H3,3+ planets concentrated in House 3,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 4,T06_Stellium_H4,3+ planets concentrated in House 4,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 5,T06_Stellium_H5,3+ planets concentrated in House 5,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 6,T06_Stellium_H6,3+ planets concentrated in House 6,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 7,T06_Stellium_H7,3+ planets concentrated in House 7,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 8,T06_Stellium_H8,3+ planets concentrated in House 8,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 9,T06_Stellium_H9,3+ planets concentrated in House 9,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 10,T06_Stellium_H10,3+ planets concentrated in House 10,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 11,T06_Stellium_H11,3+ planets concentrated in House 11,,,,,pending,
6,Stellium in House,Natal Components,,,البيت 12,T06_Stellium_H12,3+ planets concentrated in House 12,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 1,T07_Empty_H1,Empty House 1 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 2,T07_Empty_H2,Empty House 2 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 3,T07_Empty_H3,Empty House 3 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 4,T07_Empty_H4,Empty House 4 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 5,T07_Empty_H5,Empty House 5 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 6,T07_Empty_H6,Empty House 6 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 7,T07_Empty_H7,Empty House 7 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 8,T07_Empty_H8,Empty House 8 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 9,T07_Empty_H9,Empty House 9 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 10,T07_Empty_H10,Empty House 10 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 11,T07_Empty_H11,Empty House 11 — what soul didn't bring forward,,,,,pending,
7,Unoccupied House,Natal Components,,,البيت 12,T07_Empty_H12,Empty House 12 — what soul didn't bring forward,,,,,pending,
8,Intercepted Sign,Natal Components,الحمل,,,T08_Intercept_Aries,Sign Aries intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,الثور,,,T08_Intercept_Taurus,Sign Taurus intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,الجوزاء,,,T08_Intercept_Gemini,Sign Gemini intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,السرطان,,,T08_Intercept_Cancer,Sign Cancer intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,الأسد,,,T08_Intercept_Leo,Sign Leo intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,العذراء,,,T08_Intercept_Virgo,Sign Virgo intercepted in a house — hidden/delayed capacity,,,,,pending,
8,Intercepted Sign,Natal Components,الميزان,,,T08_Intercept_Libra,Sign Libra intercepted in a house — hidden/delayed capacity,,,,,pending,
