template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
9,Conjunction (0°),Aspect Templates,الشمس,القمر,اقتران,T09_Sun_Moon,Sun اقتران Moon,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,عطارد,اقتران,T09_Sun_Mercury,Sun اقتران Mercury,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,الزهرة,اقتران,T09_Sun_Venus,Sun اقتران Venus,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,المريخ,اقتران,T09_Sun_Mars,Sun اقتران Mars,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,المشتري,اقتران,T09_Sun_Jupiter,Sun اقتران Jupiter,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,زحل,اقتران,T09_Sun_Saturn,Sun اقتران Saturn,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,أورانوس,اقتران,T09_Sun_Uranus,Sun اقتران Uranus,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,نبتون,اقتران,T09_Sun_Neptune,Sun اقتران Neptune,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,بلوتو,اقتران,T09_Sun_Pluto,Sun اقتران Pluto,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,كيرون,اقتران,T09_Sun_Chiron,Sun اقتران Chiron,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,العقدة الشمالية,اقتران,T09_Sun_NorthNode,Sun اقتران North Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,الشمس,العقدة الجنوبية,اقتران,T09_Sun_SouthNode,Sun اقتران South Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,عطارد,اقتران,T09_Moon_Mercury,Moon اقتران Mercury,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,الزهرة,اقتران,T09_Moon_Venus,Moon اقتران Venus,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,المريخ,اقتران,T09_Moon_Mars,Moon اقتران Mars,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,المشتري,اقتران,T09_Moon_Jupiter,Moon اقتران Jupiter,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,زحل,اقتران,T09_Moon_Saturn,Moon اقتران Saturn,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,أورانوس,اقتران,T09_Moon_Uranus,Moon اقتران Uranus,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,نبتون,اقتران,T09_Moon_Neptune,Moon اقتران Neptune,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,بلوتو,اقتران,T09_Moon_Pluto,Moon اقتران Pluto,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,كيرون,اقتران,T09_Moon_Chiron,Moon اقتران Chiron,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,العقدة الشمالية,اقتران,T09_Moon_NorthNode,Moon اقتران North Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,القمر,العقدة الجنوبية,اقتران,T09_Moon_SouthNode,Moon اقتران South Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,الزهرة,اقتران,T09_Mercury_Venus,Mercury اقتران Venus,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,المريخ,اقتران,T09_Mercury_Mars,Mercury اقتران Mars,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,المشتري,اقتران,T09_Mercury_Jupiter,Mercury اقتران Jupiter,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,زحل,اقتران,T09_Mercury_Saturn,Mercury اقتران Saturn,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,أورانوس,اقتران,T09_Mercury_Uranus,Mercury اقتران Uranus,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,نبتون,اقتران,T09_Mercury_Neptune,Mercury اقتران Neptune,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,بلوتو,اقتران,T09_Mercury_Pluto,Mercury اقتران Pluto,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,كيرون,اقتران,T09_Mercury_Chiron,Mercury اقتران Chiron,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,العقدة الشمالية,اقتران,T09_Mercury_NorthNode,Mercury اقتران North Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,عطارد,العقدة الجنوبية,اقتران,T09_Mercury_SouthNode,Mercury اقتران South Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,المريخ,اقتران,T09_Venus_Mars,Venus اقتران Mars,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,المشتري,اقتران,T09_Venus_Jupiter,Venus اقتران Jupiter,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,زحل,اقتران,T09_Venus_Saturn,Venus اقتران Saturn,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,أورانوس,اقتران,T09_Venus_Uranus,Venus اقتران Uranus,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,نبتون,اقتران,T09_Venus_Neptune,Venus اقتران Neptune,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,بلوتو,اقتران,T09_Venus_Pluto,Venus اقتران Pluto,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,كيرون,اقتران,T09_Venus_Chiron,Venus اقتران Chiron,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,العقدة الشمالية,اقتران,T09_Venus_NorthNode,Venus اقتران North Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,الزهرة,العقدة الجنوبية,اقتران,T09_Venus_SouthNode,Venus اقتران South Node,,,,,pending,
9,Conjunction (0°),Aspect Templates,المريخ,المشتري,اقتران,T09_Mars_Jupiter,Mars اقتران Jupiter,,,,,pending,
9,Conjunction (0°),Aspect Templates,المريخ,زحل,اقتران,T09_Mars_Saturn,Mars اقتران Saturn,,,,,pending,
9,Conjunction (0°),Aspect Templates,المريخ,أورانوس,اقتران,T09_Mars_Uranus,Mars اقتران Uranus,,,,,pending,
