template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
12,Trine (120°),Aspect Templates,الشمس,القمر,تثليث,T12_Sun_Moon,Sun تثليث Moon,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,عطارد,تثليث,T12_Sun_Mercury,Sun تثليث Mercury,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,الزهرة,تثليث,T12_Sun_Venus,Sun تثليث Venus,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,المريخ,تثليث,T12_Sun_Mars,Sun تثليث Mars,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,المشتري,تثليث,T12_Sun_Jupiter,Sun تثليث Jupiter,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,زحل,تثليث,T12_Sun_Saturn,Sun تثليث Saturn,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,أورانوس,تثليث,T12_Sun_Uranus,Sun تثليث Uranus,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,نبتون,تثليث,T12_Sun_Neptune,Sun تثليث Neptune,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,بلوتو,تثليث,T12_Sun_Pluto,Sun تثليث Pluto,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,كيرون,تثليث,T12_Sun_Chiron,Sun تثليث Chiron,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,العقدة الشمالية,تثليث,T12_Sun_NorthNode,Sun تثليث North Node,,,,,pending,
12,Trine (120°),Aspect Templates,الشمس,العقدة الجنوبية,تثليث,T12_Sun_SouthNode,Sun تثليث South Node,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,عطارد,تثليث,T12_Moon_Mercury,Moon تثليث Mercury,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,الزهرة,تثليث,T12_Moon_Venus,Moon تثليث Venus,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,المريخ,تثليث,T12_Moon_Mars,Moon تثليث Mars,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,المشتري,تثليث,T12_Moon_Jupiter,Moon تثليث Jupiter,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,زحل,تثليث,T12_Moon_Saturn,Moon تثليث Saturn,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,أورانوس,تثليث,T12_Moon_Uranus,Moon تثليث Uranus,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,نبتون,تثليث,T12_Moon_Neptune,Moon تثليث Neptune,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,بلوتو,تثليث,T12_Moon_Pluto,Moon تثليث Pluto,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,كيرون,تثليث,T12_Moon_Chiron,Moon تثليث Chiron,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,العقدة الشمالية,تثليث,T12_Moon_NorthNode,Moon تثليث North Node,,,,,pending,
12,Trine (120°),Aspect Templates,القمر,العقدة الجنوبية,تثليث,T12_Moon_SouthNode,Moon تثليث South Node,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,الزهرة,تثليث,T12_Mercury_Venus,Mercury تثليث Venus,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,المريخ,تثليث,T12_Mercury_Mars,Mercury تثليث Mars,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,المشتري,تثليث,T12_Mercury_Jupiter,Mercury تثليث Jupiter,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,زحل,تثليث,T12_Mercury_Saturn,Mercury تثليث Saturn,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,أورانوس,تثليث,T12_Mercury_Uranus,Mercury تثليث Uranus,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,نبتون,تثليث,T12_Mercury_Neptune,Mercury تثليث Neptune,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,بلوتو,تثليث,T12_Mercury_Pluto,Mercury تثليث Pluto,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,كيرون,تثليث,T12_Mercury_Chiron,Mercury تثليث Chiron,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,العقدة الشمالية,تثليث,T12_Mercury_NorthNode,Mercury تثليث North Node,,,,,pending,
12,Trine (120°),Aspect Templates,عطارد,العقدة الجنوبية,تثليث,T12_Mercury_SouthNode,Mercury تثليث South Node,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,المريخ,تثليث,T12_Venus_Mars,Venus تثليث Mars,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,المشتري,تثليث,T12_Venus_Jupiter,Venus تثليث Jupiter,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,زحل,تثليث,T12_Venus_Saturn,Venus تثليث Saturn,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,أورانوس,تثليث,T12_Venus_Uranus,Venus تثليث Uranus,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,نبتون,تثليث,T12_Venus_Neptune,Venus تثليث Neptune,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,بلوتو,تثليث,T12_Venus_Pluto,Venus تثليث Pluto,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,كيرون,تثليث,T12_Venus_Chiron,Venus تثليث Chiron,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,العقدة الشمالية,تثليث,T12_Venus_NorthNode,Venus تثليث North Node,,,,,pending,
12,Trine (120°),Aspect Templates,الزهرة,العقدة الجنوبية,تثليث,T12_Venus_SouthNode,Venus تثليث South Node,,,,,pending,
12,Trine (120°),Aspect Templates,المريخ,المشتري,تثليث,T12_Mars_Jupiter,Mars تثليث Jupiter,,,,,pending,
12,Trine (120°),Aspect Templates,المريخ,زحل,تثليث,T12_Mars_Saturn,Mars تثليث Saturn,,,,,pending,
