template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
13,Sextile (60°),Aspect Templates,الشمس,القمر,تسديس,T13_Sun_Moon,Sun تسديس Moon,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,عطارد,تسديس,T13_Sun_Mercury,Sun تسديس Mercury,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,الزهرة,تسديس,T13_Sun_Venus,Sun تسديس Venus,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,المريخ,تسديس,T13_Sun_Mars,Sun تسديس Mars,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,المشتري,تسديس,T13_Sun_Jupiter,Sun تسديس Jupiter,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,زحل,تسديس,T13_Sun_Saturn,Sun تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,أورانوس,تسديس,T13_Sun_Uranus,Sun تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,نبتون,تسديس,T13_Sun_Neptune,Sun تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,بلوتو,تسديس,T13_Sun_Pluto,Sun تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,كيرون,تسديس,T13_Sun_Chiron,Sun تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,العقدة الشمالية,تسديس,T13_Sun_NorthNode,Sun تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,الشمس,العقدة الجنوبية,تسديس,T13_Sun_SouthNode,Sun تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,عطارد,تسديس,T13_Moon_Mercury,Moon تسديس Mercury,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,الزهرة,تسديس,T13_Moon_Venus,Moon تسديس Venus,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,المريخ,تسديس,T13_Moon_Mars,Moon تسديس Mars,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,المشتري,تسديس,T13_Moon_Jupiter,Moon تسديس Jupiter,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,زحل,تسديس,T13_Moon_Saturn,Moon تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,أورانوس,تسديس,T13_Moon_Uranus,Moon تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,نبتون,تسديس,T13_Moon_Neptune,Moon تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,بلوتو,تسديس,T13_Moon_Pluto,Moon تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,كيرون,تسديس,T13_Moon_Chiron,Moon تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,العقدة الشمالية,تسديس,T13_Moon_NorthNode,Moon تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,القمر,العقدة الجنوبية,تسديس,T13_Moon_SouthNode,Moon تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,الزهرة,تسديس,T13_Mercury_Venus,Mercury تسديس Venus,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,المريخ,تسديس,T13_Mercury_Mars,Mercury تسديس Mars,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,المشتري,تسديس,T13_Mercury_Jupiter,Mercury تسديس Jupiter,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,زحل,تسديس,T13_Mercury_Saturn,Mercury تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,أورانوس,تسديس,T13_Mercury_Uranus,Mercury تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,نبتون,تسديس,T13_Mercury_Neptune,Mercury تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,بلوتو,تسديس,T13_Mercury_Pluto,Mercury تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,كيرون,تسديس,T13_Mercury_Chiron,Mercury تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,العقدة الشمالية,تسديس,T13_Mercury_NorthNode,Mercury تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,عطارد,العقدة الجنوبية,تسديس,T13_Mercury_SouthNode,Mercury تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,المريخ,تسديس,T13_Venus_Mars,Venus تسديس Mars,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,المشتري,تسديس,T13_Venus_Jupiter,Venus تسديس Jupiter,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,زحل,تسديس,T13_Venus_Saturn,Venus تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,أورانوس,تسديس,T13_Venus_Uranus,Venus تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,نبتون,تسديس,T13_Venus_Neptune,Venus تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,بلوتو,تسديس,T13_Venus_Pluto,Venus تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,كيرون,تسديس,T13_Venus_Chiron,Venus تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,العقدة الشمالية,تسديس,T13_Venus_NorthNode,Venus تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,الزهرة,العقدة الجنوبية,تسديس,T13_Venus_SouthNode,Venus تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,المشتري,تسديس,T13_Mars_Jupiter,Mars تسديس Jupiter,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,زحل,تسديس,T13_Mars_Saturn,Mars تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,أورانوس,تسديس,T13_Mars_Uranus,Mars تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,نبتون,تسديس,T13_Mars_Neptune,Mars تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,بلوتو,تسديس,T13_Mars_Pluto,Mars تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,كيرون,تسديس,T13_Mars_Chiron,Mars تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,العقدة الشمالية,تسديس,T13_Mars_NorthNode,Mars تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,المريخ,العقدة الجنوبية,تسديس,T13_Mars_SouthNode,Mars تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,زحل,تسديس,T13_Jupiter_Saturn,Jupiter تسديس Saturn,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,أورانوس,تسديس,T13_Jupiter_Uranus,Jupiter تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,نبتون,تسديس,T13_Jupiter_Neptune,Jupiter تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,بلوتو,تسديس,T13_Jupiter_Pluto,Jupiter تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,كيرون,تسديس,T13_Jupiter_Chiron,Jupiter تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,العقدة الشمالية,تسديس,T13_Jupiter_NorthNode,Jupiter تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,المشتري,العقدة الجنوبية,تسديس,T13_Jupiter_SouthNode,Jupiter تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,أورانوس,تسديس,T13_Saturn_Uranus,Saturn تسديس Uranus,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,نبتون,تسديس,T13_Saturn_Neptune,Saturn تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,بلوتو,تسديس,T13_Saturn_Pluto,Saturn تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,كيرون,تسديس,T13_Saturn_Chiron,Saturn تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,العقدة الشمالية,تسديس,T13_Saturn_NorthNode,Saturn تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,زحل,العقدة الجنوبية,تسديس,T13_Saturn_SouthNode,Saturn تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,أورانوس,نبتون,تسديس,T13_Uranus_Neptune,Uranus تسديس Neptune,,,,,pending,
13,Sextile (60°),Aspect Templates,أورانوس,بلوتو,تسديس,T13_Uranus_Pluto,Uranus تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,أورانوس,كيرون,تسديس,T13_Uranus_Chiron,Uranus تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,أورانوس,العقدة الشمالية,تسديس,T13_Uranus_NorthNode,Uranus تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,أورانوس,العقدة الجنوبية,تسديس,T13_Uranus_SouthNode,Uranus تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,نبتون,بلوتو,تسديس,T13_Neptune_Pluto,Neptune تسديس Pluto,,,,,pending,
13,Sextile (60°),Aspect Templates,نبتون,كيرون,تسديس,T13_Neptune_Chiron,Neptune تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,نبتون,العقدة الشمالية,تسديس,T13_Neptune_NorthNode,Neptune تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,نبتون,العقدة الجنوبية,تسديس,T13_Neptune_SouthNode,Neptune تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,بلوتو,كيرون,تسديس,T13_Pluto_Chiron,Pluto تسديس Chiron,,,,,pending,
13,Sextile (60°),Aspect Templates,بلوتو,العقدة الشمالية,تسديس,T13_Pluto_NorthNode,Pluto تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,بلوتو,العقدة الجنوبية,تسديس,T13_Pluto_SouthNode,Pluto تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,كيرون,العقدة الشمالية,تسديس,T13_Chiron_NorthNode,Chiron تسديس North Node,,,,,pending,
13,Sextile (60°),Aspect Templates,كيرون,العقدة الجنوبية,تسديس,T13_Chiron_SouthNode,Chiron تسديس South Node,,,,,pending,
13,Sextile (60°),Aspect Templates,العقدة الشمالية,العقدة الجنوبية,تسديس,T13_NorthNode_SouthNode,North Node تسديس South Node,,,,,pending,
