template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
14,T-Square,Aspect Templates,,,,T14_TSquare_Cardinal,Cardinal T-Square — initiating tension,,,,,pending,
14,T-Square,Aspect Templates,,,,T14_TSquare_Fixed,Fixed T-Square — entrenched tension,,,,,pending,
14,T-Square,Aspect Templates,,,,T14_TSquare_Mutable,Mutable T-Square — adaptive tension,,,,,pending,
15,Grand Cross,Aspect Templates,,,,T15_GrandCross_Cardinal,Cardinal Grand Cross,,,,,pending,
15,Grand Cross,Aspect Templates,,,,T15_GrandCross_Fixed,Fixed Grand Cross,,,,,pending,
15,Grand Cross,Aspect Templates,,,,T15_GrandCross_Mutable,Mutable Grand Cross,,,,,pending,
16,Grand Trine,Aspect Templates,,,,T16_GrandTrine_Fire,Fire Grand Trine,,,,,pending,
16,Grand Trine,Aspect Templates,,,,T16_GrandTrine_Earth,Earth Grand Trine,,,,,pending,
16,Grand Trine,Aspect Templates,,,,T16_GrandTrine_Air,Air Grand Trine,,,,,pending,
16,Grand Trine,Aspect Templates,,,,T16_GrandTrine_Water,Water Grand Trine,,,,,pending,
17,Yod / Finger of God,Aspect Templates,,,,T17_Yod,Two quincunxes converging on one apex,,,,,pending,
18,Kite,Aspect Templates,,,,T18_Kite,Grand Trine with directed opposition,,,,,pending,
