template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H1/H7,T19_NNAries_H1,NN Aries H1 / SN Libra H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H2/H8,T19_NNAries_H2,NN Aries H2 / SN Libra H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H3/H9,T19_NNAries_H3,NN Aries H3 / SN Libra H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H4/H10,T19_NNAries_H4,NN Aries H4 / SN Libra H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H5/H11,T19_NNAries_H5,NN Aries H5 / SN Libra H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الحمل,العقدة الجنوبية في الميزان,H6/H12,T19_NNAries_H6,NN Aries H6 / SN Libra H12,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H1/H7,T19_NNTaurus_H1,NN Taurus H1 / SN Scorpio H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H2/H8,T19_NNTaurus_H2,NN Taurus H2 / SN Scorpio H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H3/H9,T19_NNTaurus_H3,NN Taurus H3 / SN Scorpio H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H4/H10,T19_NNTaurus_H4,NN Taurus H4 / SN Scorpio H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H5/H11,T19_NNTaurus_H5,NN Taurus H5 / SN Scorpio H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الثور,العقدة الجنوبية في العقرب,H6/H12,T19_NNTaurus_H6,NN Taurus H6 / SN Scorpio H12,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H1/H7,T19_NNGemini_H1,NN Gemini H1 / SN Sagittarius H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H2/H8,T19_NNGemini_H2,NN Gemini H2 / SN Sagittarius H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H3/H9,T19_NNGemini_H3,NN Gemini H3 / SN Sagittarius H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H4/H10,T19_NNGemini_H4,NN Gemini H4 / SN Sagittarius H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H5/H11,T19_NNGemini_H5,NN Gemini H5 / SN Sagittarius H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الجوزاء,العقدة الجنوبية في القوس,H6/H12,T19_NNGemini_H6,NN Gemini H6 / SN Sagittarius H12,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H1/H7,T19_NNCancer_H1,NN Cancer H1 / SN Capricorn H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H2/H8,T19_NNCancer_H2,NN Cancer H2 / SN Capricorn H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H3/H9,T19_NNCancer_H3,NN Cancer H3 / SN Capricorn H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H4/H10,T19_NNCancer_H4,NN Cancer H4 / SN Capricorn H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H5/H11,T19_NNCancer_H5,NN Cancer H5 / SN Capricorn H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في السرطان,العقدة الجنوبية في الجدي,H6/H12,T19_NNCancer_H6,NN Cancer H6 / SN Capricorn H12,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H1/H7,T19_NNLeo_H1,NN Leo H1 / SN Aquarius H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H2/H8,T19_NNLeo_H2,NN Leo H2 / SN Aquarius H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H3/H9,T19_NNLeo_H3,NN Leo H3 / SN Aquarius H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H4/H10,T19_NNLeo_H4,NN Leo H4 / SN Aquarius H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H5/H11,T19_NNLeo_H5,NN Leo H5 / SN Aquarius H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في الأسد,العقدة الجنوبية في الدلو,H6/H12,T19_NNLeo_H6,NN Leo H6 / SN Aquarius H12,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H1/H7,T19_NNVirgo_H1,NN Virgo H1 / SN Pisces H7,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H2/H8,T19_NNVirgo_H2,NN Virgo H2 / SN Pisces H8,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H3/H9,T19_NNVirgo_H3,NN Virgo H3 / SN Pisces H9,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H4/H10,T19_NNVirgo_H4,NN Virgo H4 / SN Pisces H10,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H5/H11,T19_NNVirgo_H5,NN Virgo H5 / SN Pisces H11,,,,,pending,
19,Nodes by Sign + House,Nodes/Chiron/Karmic,العقدة الشمالية في العذراء,العقدة الجنوبية في الحوت,H6/H12,T19_NNVirgo_H6,NN Virgo H6 / SN Pisces H12,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,الشمس,العقدة الشمالية,اقتران,T20_Sun_NN,Sun conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,القمر,العقدة الشمالية,اقتران,T20_Moon_NN,Moon conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,عطارد,العقدة الشمالية,اقتران,T20_Mercury_NN,Mercury conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,الزهرة,العقدة الشمالية,اقتران,T20_Venus_NN,Venus conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,المريخ,العقدة الشمالية,اقتران,T20_Mars_NN,Mars conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,المشتري,العقدة الشمالية,اقتران,T20_Jupiter_NN,Jupiter conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,زحل,العقدة الشمالية,اقتران,T20_Saturn_NN,Saturn conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,أورانوس,العقدة الشمالية,اقتران,T20_Uranus_NN,Uranus conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,نبتون,العقدة الشمالية,اقتران,T20_Neptune_NN,Neptune conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,بلوتو,العقدة الشمالية,اقتران,T20_Pluto_NN,Pluto conjunct NN — soul accelerant,,,,,pending,
20,Planet Conjunct North Node,Nodes/Chiron/Karmic,كيرون,العقدة الشمالية,اقتران,T20_Chiron_NN,Chiron conjunct NN — soul accelerant,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,الشمس,العقدة الجنوبية,اقتران,T21_Sun_SN,Sun conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,القمر,العقدة الجنوبية,اقتران,T21_Moon_SN,Moon conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,عطارد,العقدة الجنوبية,اقتران,T21_Mercury_SN,Mercury conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,الزهرة,العقدة الجنوبية,اقتران,T21_Venus_SN,Venus conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,المريخ,العقدة الجنوبية,اقتران,T21_Mars_SN,Mars conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,المشتري,العقدة الجنوبية,اقتران,T21_Jupiter_SN,Jupiter conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,زحل,العقدة الجنوبية,اقتران,T21_Saturn_SN,Saturn conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,أورانوس,العقدة الجنوبية,اقتران,T21_Uranus_SN,Uranus conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,نبتون,العقدة الجنوبية,اقتران,T21_Neptune_SN,Neptune conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,بلوتو,العقدة الجنوبية,اقتران,T21_Pluto_SN,Pluto conjunct SN — karmic residue,,,,,pending,
21,Planet Conjunct South Node,Nodes/Chiron/Karmic,كيرون,العقدة الجنوبية,اقتران,T21_Chiron_SN,Chiron conjunct SN — karmic residue,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H1/H7,T22_NN_H1,Nodal axis across 1/7 polarity,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H2/H8,T22_NN_H2,Nodal axis across 2/8 polarity,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H3/H9,T22_NN_H3,Nodal axis across 3/9 polarity,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H4/H10,T22_NN_H4,Nodal axis across 4/10 polarity,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H5/H11,T22_NN_H5,Nodal axis across 5/11 polarity,,,,,pending,
22,Nodal Axis across House Axis,Nodes/Chiron/Karmic,العقدة الشمالية,العقدة الجنوبية,H6/H12,T22_NN_H6,Nodal axis across 6/12 polarity,,,,,pending,
