template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 1,T23_Chiron_Aries_H1,Chiron in Aries House 1,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 2,T23_Chiron_Aries_H2,Chiron in Aries House 2,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 3,T23_Chiron_Aries_H3,Chiron in Aries House 3,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 4,T23_Chiron_Aries_H4,Chiron in Aries House 4,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 5,T23_Chiron_Aries_H5,Chiron in Aries House 5,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 6,T23_Chiron_Aries_H6,Chiron in Aries House 6,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 7,T23_Chiron_Aries_H7,Chiron in Aries House 7,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 8,T23_Chiron_Aries_H8,Chiron in Aries House 8,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 9,T23_Chiron_Aries_H9,Chiron in Aries House 9,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 10,T23_Chiron_Aries_H10,Chiron in Aries House 10,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 11,T23_Chiron_Aries_H11,Chiron in Aries House 11,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الحمل,البيت 12,T23_Chiron_Aries_H12,Chiron in Aries House 12,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 1,T23_Chiron_Taurus_H1,Chiron in Taurus House 1,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 2,T23_Chiron_Taurus_H2,Chiron in Taurus House 2,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 3,T23_Chiron_Taurus_H3,Chiron in Taurus House 3,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 4,T23_Chiron_Taurus_H4,Chiron in Taurus House 4,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 5,T23_Chiron_Taurus_H5,Chiron in Taurus House 5,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 6,T23_Chiron_Taurus_H6,Chiron in Taurus House 6,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 7,T23_Chiron_Taurus_H7,Chiron in Taurus House 7,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 8,T23_Chiron_Taurus_H8,Chiron in Taurus House 8,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 9,T23_Chiron_Taurus_H9,Chiron in Taurus House 9,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 10,T23_Chiron_Taurus_H10,Chiron in Taurus House 10,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 11,T23_Chiron_Taurus_H11,Chiron in Taurus House 11,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الثور,البيت 12,T23_Chiron_Taurus_H12,Chiron in Taurus House 12,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 1,T23_Chiron_Gemini_H1,Chiron in Gemini House 1,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 2,T23_Chiron_Gemini_H2,Chiron in Gemini House 2,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 3,T23_Chiron_Gemini_H3,Chiron in Gemini House 3,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 4,T23_Chiron_Gemini_H4,Chiron in Gemini House 4,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 5,T23_Chiron_Gemini_H5,Chiron in Gemini House 5,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 6,T23_Chiron_Gemini_H6,Chiron in Gemini House 6,,,,,pending,
23,Chiron by Sign + House,Nodes/Chiron/Karmic,كيرون,الجوزاء,البيت 7,T23_Chiron_Gemini_H7,Chiron in Gemini House 7,,,,,pending,
