template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 1,T24_Pluto_Aries_H1,Pluto in Aries House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 2,T24_Pluto_Aries_H2,Pluto in Aries House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 3,T24_Pluto_Aries_H3,Pluto in Aries House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 4,T24_Pluto_Aries_H4,Pluto in Aries House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 5,T24_Pluto_Aries_H5,Pluto in Aries House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 6,T24_Pluto_Aries_H6,Pluto in Aries House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 7,T24_Pluto_Aries_H7,Pluto in Aries House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 8,T24_Pluto_Aries_H8,Pluto in Aries House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 9,T24_Pluto_Aries_H9,Pluto in Aries House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 10,T24_Pluto_Aries_H10,Pluto in Aries House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 11,T24_Pluto_Aries_H11,Pluto in Aries House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحمل,البيت 12,T24_Pluto_Aries_H12,Pluto in Aries House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 1,T24_Pluto_Taurus_H1,Pluto in Taurus House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 2,T24_Pluto_Taurus_H2,Pluto in Taurus House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 3,T24_Pluto_Taurus_H3,Pluto in Taurus House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 4,T24_Pluto_Taurus_H4,Pluto in Taurus House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 5,T24_Pluto_Taurus_H5,Pluto in Taurus House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 6,T24_Pluto_Taurus_H6,Pluto in Taurus House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 7,T24_Pluto_Taurus_H7,Pluto in Taurus House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 8,T24_Pluto_Taurus_H8,Pluto in Taurus House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 9,T24_Pluto_Taurus_H9,Pluto in Taurus House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الثور,البيت 10,T24_Pluto_Taurus_H10,Pluto in Taurus House 10,,,,,pending,
