template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 1,T24_Pluto_Libra_H1,Pluto in Libra House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 2,T24_Pluto_Libra_H2,Pluto in Libra House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 3,T24_Pluto_Libra_H3,Pluto in Libra House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 4,T24_Pluto_Libra_H4,Pluto in Libra House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 5,T24_Pluto_Libra_H5,Pluto in Libra House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 6,T24_Pluto_Libra_H6,Pluto in Libra House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 7,T24_Pluto_Libra_H7,Pluto in Libra House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 8,T24_Pluto_Libra_H8,Pluto in Libra House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 9,T24_Pluto_Libra_H9,Pluto in Libra House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 10,T24_Pluto_Libra_H10,Pluto in Libra House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 11,T24_Pluto_Libra_H11,Pluto in Libra House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الميزان,البيت 12,T24_Pluto_Libra_H12,Pluto in Libra House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 1,T24_Pluto_Scorpio_H1,Pluto in Scorpio House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 2,T24_Pluto_Scorpio_H2,Pluto in Scorpio House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 3,T24_Pluto_Scorpio_H3,Pluto in Scorpio House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 4,T24_Pluto_Scorpio_H4,Pluto in Scorpio House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 5,T24_Pluto_Scorpio_H5,Pluto in Scorpio House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 6,T24_Pluto_Scorpio_H6,Pluto in Scorpio House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 7,T24_Pluto_Scorpio_H7,Pluto in Scorpio House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 8,T24_Pluto_Scorpio_H8,Pluto in Scorpio House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 9,T24_Pluto_Scorpio_H9,Pluto in Scorpio House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 10,T24_Pluto_Scorpio_H10,Pluto in Scorpio House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 11,T24_Pluto_Scorpio_H11,Pluto in Scorpio House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,العقرب,البيت 12,T24_Pluto_Scorpio_H12,Pluto in Scorpio House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 1,T24_Pluto_Sagittarius_H1,Pluto in Sagittarius House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 2,T24_Pluto_Sagittarius_H2,Pluto in Sagittarius House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 3,T24_Pluto_Sagittarius_H3,Pluto in Sagittarius House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 4,T24_Pluto_Sagittarius_H4,Pluto in Sagittarius House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 5,T24_Pluto_Sagittarius_H5,Pluto in Sagittarius House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 6,T24_Pluto_Sagittarius_H6,Pluto in Sagittarius House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 7,T24_Pluto_Sagittarius_H7,Pluto in Sagittarius House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 8,T24_Pluto_Sagittarius_H8,Pluto in Sagittarius House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 9,T24_Pluto_Sagittarius_H9,Pluto in Sagittarius House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 10,T24_Pluto_Sagittarius_H10,Pluto in Sagittarius House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 11,T24_Pluto_Sagittarius_H11,Pluto in Sagittarius House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,القوس,البيت 12,T24_Pluto_Sagittarius_H12,Pluto in Sagittarius House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 1,T24_Pluto_Capricorn_H1,Pluto in Capricorn House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 2,T24_Pluto_Capricorn_H2,Pluto in Capricorn House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 3,T24_Pluto_Capricorn_H3,Pluto in Capricorn House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 4,T24_Pluto_Capricorn_H4,Pluto in Capricorn House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 5,T24_Pluto_Capricorn_H5,Pluto in Capricorn House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 6,T24_Pluto_Capricorn_H6,Pluto in Capricorn House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 7,T24_Pluto_Capricorn_H7,Pluto in Capricorn House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 8,T24_Pluto_Capricorn_H8,Pluto in Capricorn House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 9,T24_Pluto_Capricorn_H9,Pluto in Capricorn House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 10,T24_Pluto_Capricorn_H10,Pluto in Capricorn House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 11,T24_Pluto_Capricorn_H11,Pluto in Capricorn House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الجدي,البيت 12,T24_Pluto_Capricorn_H12,Pluto in Capricorn House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 1,T24_Pluto_Aquarius_H1,Pluto in Aquarius House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 2,T24_Pluto_Aquarius_H2,Pluto in Aquarius House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 3,T24_Pluto_Aquarius_H3,Pluto in Aquarius House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 4,T24_Pluto_Aquarius_H4,Pluto in Aquarius House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 5,T24_Pluto_Aquarius_H5,Pluto in Aquarius House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 6,T24_Pluto_Aquarius_H6,Pluto in Aquarius House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 7,T24_Pluto_Aquarius_H7,Pluto in Aquarius House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 8,T24_Pluto_Aquarius_H8,Pluto in Aquarius House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 9,T24_Pluto_Aquarius_H9,Pluto in Aquarius House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 10,T24_Pluto_Aquarius_H10,Pluto in Aquarius House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 11,T24_Pluto_Aquarius_H11,Pluto in Aquarius House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الدلو,البيت 12,T24_Pluto_Aquarius_H12,Pluto in Aquarius House 12,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 1,T24_Pluto_Pisces_H1,Pluto in Pisces House 1,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 2,T24_Pluto_Pisces_H2,Pluto in Pisces House 2,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 3,T24_Pluto_Pisces_H3,Pluto in Pisces House 3,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 4,T24_Pluto_Pisces_H4,Pluto in Pisces House 4,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 5,T24_Pluto_Pisces_H5,Pluto in Pisces House 5,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 6,T24_Pluto_Pisces_H6,Pluto in Pisces House 6,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 7,T24_Pluto_Pisces_H7,Pluto in Pisces House 7,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 8,T24_Pluto_Pisces_H8,Pluto in Pisces House 8,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 9,T24_Pluto_Pisces_H9,Pluto in Pisces House 9,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 10,T24_Pluto_Pisces_H10,Pluto in Pisces House 10,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 11,T24_Pluto_Pisces_H11,Pluto in Pisces House 11,,,,,pending,
24,Pluto by Sign + House,Nodes/Chiron/Karmic,بلوتو,الحوت,البيت 12,T24_Pluto_Pisces_H12,Pluto in Pisces House 12,,,,,pending,
