template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 1,T25_Saturn_Aries_H1,Saturn in Aries House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 2,T25_Saturn_Aries_H2,Saturn in Aries House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 3,T25_Saturn_Aries_H3,Saturn in Aries House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 4,T25_Saturn_Aries_H4,Saturn in Aries House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 5,T25_Saturn_Aries_H5,Saturn in Aries House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 6,T25_Saturn_Aries_H6,Saturn in Aries House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 7,T25_Saturn_Aries_H7,Saturn in Aries House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 8,T25_Saturn_Aries_H8,Saturn in Aries House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 9,T25_Saturn_Aries_H9,Saturn in Aries House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 10,T25_Saturn_Aries_H10,Saturn in Aries House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 11,T25_Saturn_Aries_H11,Saturn in Aries House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الحمل,البيت 12,T25_Saturn_Aries_H12,Saturn in Aries House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 1,T25_Saturn_Taurus_H1,Saturn in Taurus House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 2,T25_Saturn_Taurus_H2,Saturn in Taurus House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 3,T25_Saturn_Taurus_H3,Saturn in Taurus House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 4,T25_Saturn_Taurus_H4,Saturn in Taurus House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 5,T25_Saturn_Taurus_H5,Saturn in Taurus House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 6,T25_Saturn_Taurus_H6,Saturn in Taurus House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 7,T25_Saturn_Taurus_H7,Saturn in Taurus House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 8,T25_Saturn_Taurus_H8,Saturn in Taurus House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 9,T25_Saturn_Taurus_H9,Saturn in Taurus House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 10,T25_Saturn_Taurus_H10,Saturn in Taurus House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 11,T25_Saturn_Taurus_H11,Saturn in Taurus House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الثور,البيت 12,T25_Saturn_Taurus_H12,Saturn in Taurus House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 1,T25_Saturn_Gemini_H1,Saturn in Gemini House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 2,T25_Saturn_Gemini_H2,Saturn in Gemini House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 3,T25_Saturn_Gemini_H3,Saturn in Gemini House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 4,T25_Saturn_Gemini_H4,Saturn in Gemini House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 5,T25_Saturn_Gemini_H5,Saturn in Gemini House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 6,T25_Saturn_Gemini_H6,Saturn in Gemini House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 7,T25_Saturn_Gemini_H7,Saturn in Gemini House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 8,T25_Saturn_Gemini_H8,Saturn in Gemini House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 9,T25_Saturn_Gemini_H9,Saturn in Gemini House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 10,T25_Saturn_Gemini_H10,Saturn in Gemini House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 11,T25_Saturn_Gemini_H11,Saturn in Gemini House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الجوزاء,البيت 12,T25_Saturn_Gemini_H12,Saturn in Gemini House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 1,T25_Saturn_Cancer_H1,Saturn in Cancer House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 2,T25_Saturn_Cancer_H2,Saturn in Cancer House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 3,T25_Saturn_Cancer_H3,Saturn in Cancer House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 4,T25_Saturn_Cancer_H4,Saturn in Cancer House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 5,T25_Saturn_Cancer_H5,Saturn in Cancer House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 6,T25_Saturn_Cancer_H6,Saturn in Cancer House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 7,T25_Saturn_Cancer_H7,Saturn in Cancer House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 8,T25_Saturn_Cancer_H8,Saturn in Cancer House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 9,T25_Saturn_Cancer_H9,Saturn in Cancer House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 10,T25_Saturn_Cancer_H10,Saturn in Cancer House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 11,T25_Saturn_Cancer_H11,Saturn in Cancer House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,السرطان,البيت 12,T25_Saturn_Cancer_H12,Saturn in Cancer House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 1,T25_Saturn_Leo_H1,Saturn in Leo House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 2,T25_Saturn_Leo_H2,Saturn in Leo House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 3,T25_Saturn_Leo_H3,Saturn in Leo House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 4,T25_Saturn_Leo_H4,Saturn in Leo House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 5,T25_Saturn_Leo_H5,Saturn in Leo House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 6,T25_Saturn_Leo_H6,Saturn in Leo House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 7,T25_Saturn_Leo_H7,Saturn in Leo House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 8,T25_Saturn_Leo_H8,Saturn in Leo House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 9,T25_Saturn_Leo_H9,Saturn in Leo House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 10,T25_Saturn_Leo_H10,Saturn in Leo House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 11,T25_Saturn_Leo_H11,Saturn in Leo House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الأسد,البيت 12,T25_Saturn_Leo_H12,Saturn in Leo House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العذراء,البيت 1,T25_Saturn_Virgo_H1,Saturn in Virgo House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العذراء,البيت 2,T25_Saturn_Virgo_H2,Saturn in Virgo House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العذراء,البيت 3,T25_Saturn_Virgo_H3,Saturn in Virgo House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العذراء,البيت 4,T25_Saturn_Virgo_H4,Saturn in Virgo House 4,,,,,pending,
