template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 1,T25_Saturn_Libra_H1,Saturn in Libra House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 2,T25_Saturn_Libra_H2,Saturn in Libra House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 3,T25_Saturn_Libra_H3,Saturn in Libra House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 4,T25_Saturn_Libra_H4,Saturn in Libra House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 5,T25_Saturn_Libra_H5,Saturn in Libra House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 6,T25_Saturn_Libra_H6,Saturn in Libra House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 7,T25_Saturn_Libra_H7,Saturn in Libra House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 8,T25_Saturn_Libra_H8,Saturn in Libra House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 9,T25_Saturn_Libra_H9,Saturn in Libra House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 10,T25_Saturn_Libra_H10,Saturn in Libra House 10,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 11,T25_Saturn_Libra_H11,Saturn in Libra House 11,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,الميزان,البيت 12,T25_Saturn_Libra_H12,Saturn in Libra House 12,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 1,T25_Saturn_Scorpio_H1,Saturn in Scorpio House 1,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 2,T25_Saturn_Scorpio_H2,Saturn in Scorpio House 2,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 3,T25_Saturn_Scorpio_H3,Saturn in Scorpio House 3,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 4,T25_Saturn_Scorpio_H4,Saturn in Scorpio House 4,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 5,T25_Saturn_Scorpio_H5,Saturn in Scorpio House 5,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 6,T25_Saturn_Scorpio_H6,Saturn in Scorpio House 6,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 7,T25_Saturn_Scorpio_H7,Saturn in Scorpio House 7,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 8,T25_Saturn_Scorpio_H8,Saturn in Scorpio House 8,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 9,T25_Saturn_Scorpio_H9,Saturn in Scorpio House 9,,,,,pending,
25,Saturn by Sign + House,Nodes/Chiron/Karmic,زحل,العقرب,البيت 10,T25_Saturn_Scorpio_H10,Saturn in Scorpio House 10,,,,,pending,
