template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 1,T26_Uranus_Aries_H1,Uranus in Aries House 1,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 2,T26_Uranus_Aries_H2,Uranus in Aries House 2,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 3,T26_Uranus_Aries_H3,Uranus in Aries House 3,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 4,T26_Uranus_Aries_H4,Uranus in Aries House 4,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 5,T26_Uranus_Aries_H5,Uranus in Aries House 5,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 6,T26_Uranus_Aries_H6,Uranus in Aries House 6,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 7,T26_Uranus_Aries_H7,Uranus in Aries House 7,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 8,T26_Uranus_Aries_H8,Uranus in Aries House 8,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 9,T26_Uranus_Aries_H9,Uranus in Aries House 9,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 10,T26_Uranus_Aries_H10,Uranus in Aries House 10,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 11,T26_Uranus_Aries_H11,Uranus in Aries House 11,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الحمل,البيت 12,T26_Uranus_Aries_H12,Uranus in Aries House 12,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الثور,البيت 1,T26_Uranus_Taurus_H1,Uranus in Taurus House 1,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الثور,البيت 2,T26_Uranus_Taurus_H2,Uranus in Taurus House 2,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الثور,البيت 3,T26_Uranus_Taurus_H3,Uranus in Taurus House 3,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الثور,البيت 4,T26_Uranus_Taurus_H4,Uranus in Taurus House 4,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الثور,البيت 5,T26_Uranus_Taurus_H5,Uranus in Taurus House 5,,,,,pending,
