template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 1,T26_Uranus_Libra_H1,Uranus in Libra House 1,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 2,T26_Uranus_Libra_H2,Uranus in Libra House 2,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 3,T26_Uranus_Libra_H3,Uranus in Libra House 3,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 4,T26_Uranus_Libra_H4,Uranus in Libra House 4,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 5,T26_Uranus_Libra_H5,Uranus in Libra House 5,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 6,T26_Uranus_Libra_H6,Uranus in Libra House 6,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 7,T26_Uranus_Libra_H7,Uranus in Libra House 7,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 8,T26_Uranus_Libra_H8,Uranus in Libra House 8,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 9,T26_Uranus_Libra_H9,Uranus in Libra House 9,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 10,T26_Uranus_Libra_H10,Uranus in Libra House 10,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 11,T26_Uranus_Libra_H11,Uranus in Libra House 11,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,الميزان,البيت 12,T26_Uranus_Libra_H12,Uranus in Libra House 12,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 1,T26_Uranus_Scorpio_H1,Uranus in Scorpio House 1,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 2,T26_Uranus_Scorpio_H2,Uranus in Scorpio House 2,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 3,T26_Uranus_Scorpio_H3,Uranus in Scorpio House 3,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 4,T26_Uranus_Scorpio_H4,Uranus in Scorpio House 4,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 5,T26_Uranus_Scorpio_H5,Uranus in Scorpio House 5,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 6,T26_Uranus_Scorpio_H6,Uranus in Scorpio House 6,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 7,T26_Uranus_Scorpio_H7,Uranus in Scorpio House 7,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 8,T26_Uranus_Scorpio_H8,Uranus in Scorpio House 8,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 9,T26_Uranus_Scorpio_H9,Uranus in Scorpio House 9,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 10,T26_Uranus_Scorpio_H10,Uranus in Scorpio House 10,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 11,T26_Uranus_Scorpio_H11,Uranus in Scorpio House 11,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,العقرب,البيت 12,T26_Uranus_Scorpio_H12,Uranus in Scorpio House 12,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 1,T26_Uranus_Sagittarius_H1,Uranus in Sagittarius House 1,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 2,T26_Uranus_Sagittarius_H2,Uranus in Sagittarius House 2,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 3,T26_Uranus_Sagittarius_H3,Uranus in Sagittarius House 3,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 4,T26_Uranus_Sagittarius_H4,Uranus in Sagittarius House 4,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 5,T26_Uranus_Sagittarius_H5,Uranus in Sagittarius House 5,,,,,pending,
26,Uranus by Sign + House,Nodes/Chiron/Karmic,أورانوس,القوس,البيت 6,T26_Uranus_Sagittarius_H6,Uranus in Sagittarius House 6,,,,,pending,
