template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 1,T27_Neptune_Aries_H1,Neptune in Aries House 1,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 2,T27_Neptune_Aries_H2,Neptune in Aries House 2,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 3,T27_Neptune_Aries_H3,Neptune in Aries House 3,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 4,T27_Neptune_Aries_H4,Neptune in Aries House 4,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 5,T27_Neptune_Aries_H5,Neptune in Aries House 5,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 6,T27_Neptune_Aries_H6,Neptune in Aries House 6,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 7,T27_Neptune_Aries_H7,Neptune in Aries House 7,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 8,T27_Neptune_Aries_H8,Neptune in Aries House 8,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 9,T27_Neptune_Aries_H9,Neptune in Aries House 9,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 10,T27_Neptune_Aries_H10,Neptune in Aries House 10,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 11,T27_Neptune_Aries_H11,Neptune in Aries House 11,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الحمل,البيت 12,T27_Neptune_Aries_H12,Neptune in Aries House 12,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 1,T27_Neptune_Taurus_H1,Neptune in Taurus House 1,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 2,T27_Neptune_Taurus_H2,Neptune in Taurus House 2,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 3,T27_Neptune_Taurus_H3,Neptune in Taurus House 3,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 4,T27_Neptune_Taurus_H4,Neptune in Taurus House 4,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 5,T27_Neptune_Taurus_H5,Neptune in Taurus House 5,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 6,T27_Neptune_Taurus_H6,Neptune in Taurus House 6,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 7,T27_Neptune_Taurus_H7,Neptune in Taurus House 7,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الثور,البيت 8,T27_Neptune_Taurus_H8,Neptune in Taurus House 8,,,,,pending,
