template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 1,T27_Neptune_Libra_H1,Neptune in Libra House 1,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 2,T27_Neptune_Libra_H2,Neptune in Libra House 2,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 3,T27_Neptune_Libra_H3,Neptune in Libra House 3,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 4,T27_Neptune_Libra_H4,Neptune in Libra House 4,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 5,T27_Neptune_Libra_H5,Neptune in Libra House 5,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 6,T27_Neptune_Libra_H6,Neptune in Libra House 6,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 7,T27_Neptune_Libra_H7,Neptune in Libra House 7,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 8,T27_Neptune_Libra_H8,Neptune in Libra House 8,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 9,T27_Neptune_Libra_H9,Neptune in Libra House 9,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 10,T27_Neptune_Libra_H10,Neptune in Libra House 10,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 11,T27_Neptune_Libra_H11,Neptune in Libra House 11,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,الميزان,البيت 12,T27_Neptune_Libra_H12,Neptune in Libra House 12,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 1,T27_Neptune_Scorpio_H1,Neptune in Scorpio House 1,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 2,T27_Neptune_Scorpio_H2,Neptune in Scorpio House 2,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 3,T27_Neptune_Scorpio_H3,Neptune in Scorpio House 3,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 4,T27_Neptune_Scorpio_H4,Neptune in Scorpio House 4,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 5,T27_Neptune_Scorpio_H5,Neptune in Scorpio House 5,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 6,T27_Neptune_Scorpio_H6,Neptune in Scorpio House 6,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 7,T27_Neptune_Scorpio_H7,Neptune in Scorpio House 7,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 8,T27_Neptune_Scorpio_H8,Neptune in Scorpio House 8,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 9,T27_Neptune_Scorpio_H9,Neptune in Scorpio House 9,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 10,T27_Neptune_Scorpio_H10,Neptune in Scorpio House 10,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 11,T27_Neptune_Scorpio_H11,Neptune in Scorpio House 11,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,العقرب,البيت 12,T27_Neptune_Scorpio_H12,Neptune in Scorpio House 12,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,القوس,البيت 1,T27_Neptune_Sagittarius_H1,Neptune in Sagittarius House 1,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,القوس,البيت 2,T27_Neptune_Sagittarius_H2,Neptune in Sagittarius House 2,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,القوس,البيت 3,T27_Neptune_Sagittarius_H3,Neptune in Sagittarius House 3,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,القوس,البيت 4,T27_Neptune_Sagittarius_H4,Neptune in Sagittarius House 4,,,,,pending,
27,Neptune by Sign + House,Nodes/Chiron/Karmic,نبتون,القوس,البيت 5,T27_Neptune_Sagittarius_H5,Neptune in Sagittarius House 5,,,,,pending,
