template_num,template_name,category,body_a,body_b_or_sign,house_or_aspect,placement_id,focus_theme,traditional_meaning_ar,evolutionary_meaning_ar,developmental_task_ar,key_references,status,content_file
4,Planet Conjunct Planet,Natal Components,الشمس,القمر,اقتران,T04_Sun_Moon,Conjunction of Sun and Moon,يصهر اقتران الشمس مع القمر مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه الحياة الشعورية والذاكرة العاطفية والحاجة إلى الانتماء والأمان، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع النفس المستقبِلة التي تختزن ما تعيشه. في هذا الميلاد تولد النفس وقد صُهرت إرادتها الواعية مع نبضها الشعوري في جسد واحد، فلا يستطيع المرء أن يقول من أنا دون أن يقول ما أشعر، ولا أن يستجيب لشعوره دون أن يمسّ هويته في الصميم.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ القمر ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن النفس المستقبِلة التي تختزن ما تعيشه، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل واحتواء الحياة الداخلية برحابة نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع التشبث بعادات شعورية قديمة لا تخدم الحاضر، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـالانجراف في مزاج متقلب يبتلع التمييز. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل واحتواء الحياة الداخلية برحابة كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,عطارد,اقتران,T04_Sun_Mercury,Conjunction of Sun and Mercury,يصهر اقتران الشمس مع عطارد مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه ملكة الفكر والربط والكلام التي تترجم التجربة إلى معنى، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع العقل الناقل الذي يصل بين الأطراف. تنبثق الذات هنا وهي ناطقة بطبيعتها، إذ يصير الفكر والكلام جزءاً من نسيج الهوية لا أداةً لها، ويصعب أن يفصل المرء بين رأيه في الشيء وبين نفسه.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ عطارد ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن العقل الناقل الذي يصل بين الأطراف، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وتشكيل المعرفة في صياغة دقيقة وحرة نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع حصر الفكر في مقولات جاهزة وقواعد لفظية ميتة، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـتشتت الكلام في ثرثرة لا مرسى لها. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وتشكيل المعرفة في صياغة دقيقة وحرة كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Sue Tompkins — Aspects in Astrology,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,الزهرة,اقتران,T04_Sun_Venus,Conjunction of Sun and Venus,يصهر اقتران الشمس مع الزهرة مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه ملكة العلاقة والذوق والقيمة، وما يجعل الحياة جديرة بالحب، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع النفس المنجذبة التي ترى الجمال وتختار الصلة. تأتي النفس وقد عُجن مركز إرادتها مع حسّ الجمال والقيمة، فيُعرف صاحب التركيب بطبع جذاب يحضر فيه الإشعاع والميل إلى التناغم في فعل واحد.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ الزهرة ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن النفس المنجذبة التي ترى الجمال وتختار الصلة، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وبناء صلات صادقة وقيم حية نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع تجميد المحبة في عرف اجتماعي أو مبادلة منفعية، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـالانغماس في الإغراء حتى يضيع المعيار الداخلي. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وبناء صلات صادقة وقيم حية كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,المريخ,اقتران,T04_Sun_Mars,Conjunction of Sun and Mars,يصهر اقتران الشمس مع المريخ مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه الإرادة الفاعلة والشجاعة التي تخرج الذات إلى الفعل، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع الذراع الفاعلة للأنا حين تختار أن تتحرك. تتشكل الهوية وهي قابضة على سيف فعلها منذ البداية، فيصير الحضور والمبادرة وجهين لكيان واحد، وتصعب الراحة على نفس وُلدت قائدة لذاتها.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ المريخ ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن الذراع الفاعلة للأنا حين تختار أن تتحرك، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وتوجيه الفعل من قرار حر لا من اندفاع نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع تجميد الإرادة في عدوانية باردة أو انضباط قاسٍ، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـاندفاع غاضب يحرق ما يلمس. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وتوجيه الفعل من قرار حر لا من اندفاع كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Sue Tompkins — Aspects in Astrology,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,المشتري,اقتران,T04_Sun_Jupiter,Conjunction of Sun and Jupiter,يصهر اقتران الشمس مع المشتري مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه ملكة التوسع والمعنى الجامع والثقة بمسار أوسع، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع الروح التي تبحث عن أفق ومعنى مشترك. يولد المرء وفي صلب هويته نزوع إلى الأفق الأوسع والمعنى الجامع، فيحمل في حضوره الشخصي بذرة وعد يتجاوز فرديته.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ المشتري ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن الروح التي تبحث عن أفق ومعنى مشترك، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وتنظيم التوسع حول معنى حقيقي نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع تحوّل الإيمان إلى عقيدة مغلقة تُفرض على الواقع، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـتضخم الوعد حتى ينفصل عن الأرض. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وتنظيم التوسع حول معنى حقيقي كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,زحل,اقتران,T04_Sun_Saturn,Conjunction of Sun and Saturn,يصهر اقتران الشمس مع زحل مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه ملكة الحد والشكل والمسؤولية وبناء البنية المتينة، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع العمود الذي يحمل ثقل الذات في الزمن. تأتي النفس وقد التحم مركز إرادتها بحارس صارم في داخلها، فيشعر المرء منذ صغره أنه مسؤول عن ذاته كما يُسأل الكبار، وأن الاعتراف لا يُمنح بل يُكتسب.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ زحل ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن العمود الذي يحمل ثقل الذات في الزمن، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وبناء بنية أمينة دون أن تخنق الحياة نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع خوف يتحجر في جدران داخلية تمنع كل جديد، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـالانكفاء الكئيب حيث يصير الحد نهاية بلا أفق. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وبناء بنية أمينة دون أن تخنق الحياة كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Liz Greene — Saturn: A New Look at an Old Devil,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,أورانوس,اقتران,T04_Sun_Uranus,Conjunction of Sun and Uranus,يصهر اقتران الشمس مع أورانوس مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه نبض القطيعة والاستيقاظ المفاجئ الذي يحرر الذات من القالب، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع الصاعقة التي تشق الجدار حين يضيق. يدخل صاحب التركيب الحياة وفي قلب هويته شرارة قطيعة، فلا يطيق أن يكون كأحد، ويُحس بضرورة أن يقول كلمته الخاصة منذ البداية.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ أورانوس ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن الصاعقة التي تشق الجدار حين يضيق، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وترجمة الحرية إلى فعل جديد بنّاء نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع تمرد ميكانيكي يكرر الرفض دون مضمون، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـهياج عصبي يتخيل الحرية في كل قطيعة. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وترجمة الحرية إلى فعل جديد بنّاء كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Bil Tierney — Dynamics of Aspect Analysis,filled,
4,Planet Conjunct Planet,Natal Components,الشمس,نبتون,اقتران,T04_Sun_Neptune,Conjunction of Sun and Neptune,يصهر اقتران الشمس مع نبتون مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه ملكة الذوبان والرؤيا والوصلة بما يتجاوز حدود الأنا الضيقة، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع الحجاب الرقيق الذي يفتح النفس على ما هو أوسع. تنبثق الذات هنا وهي مرتبطة بحجاب رقيق يربطها بأبعاد أوسع من شخصها، فتحمل في إشعاعها ظلاً من الفنان أو الزاهد أو الحالم.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ نبتون ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن الحجاب الرقيق الذي يفتح النفس على ما هو أوسع، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وتنقية الرؤيا وحماية الحدود نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع انغلاق متشكك يبخس كل بعد روحي، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـضياع في ضباب الوهم والهرب من الواقع. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وتنقية الرؤيا وحماية الحدود كنغمة واحدة في المجال الذي تقع فيه التركيبة.,"Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Stephen Arroyo — Astrology, Karma & Transformation",filled,
4,Planet Conjunct Planet,Natal Components,الشمس,بلوتو,اقتران,T04_Sun_Pluto,Conjunction of Sun and Pluto,يصهر اقتران الشمس مع بلوتو مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه قوة التحول الجذري عبر الموت والولادة في عمق النفس، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع النار الباطنة التي تبيد ما لم يعد حياً. يولد المرء وقد التحمت إرادته الواعية بنار تحوّل جذرية في عمقه، فلا تعرف هويته الأنصاف، إما أن تتجدد بقوة وإما أن تتآكل في صمت.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ بلوتو ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن النار الباطنة التي تبيد ما لم يعد حياً، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل والسماح بالتحول دون استبداد نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع قبضة استحواذية تتحكم بكل شيء خوفاً من الفقد، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـهوس بالقوة الخفية حتى تبتلع باقي الذات. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل والسماح بالتحول دون استبداد كنغمة واحدة في المجال الذي تقع فيه التركيبة.,"Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Stephen Arroyo — Astrology, Karma & Transformation",filled,
4,Planet Conjunct Planet,Natal Components,الشمس,كيرون,اقتران,T04_Sun_Chiron,Conjunction of Sun and Chiron,يصهر اقتران الشمس مع كيرون مبدأين في خامة هوية واحدة، إذ تعمل مركز الإرادة الواعية وجوهر الذات الذي يختار حضوره في العالم في الوقت ذاته الذي تعمل فيه الجرح الأصلي الذي لا يلتئم تماماً وقوس الفداء الذي يصدر منه، فلا تُستدعى إحداهما دون أن تحضر الأخرى. يقرأ التقليد هذه التركيبة بنية في الذات لا أثراً عابراً، إذ يولد المرء وقد التحم في صلبه نواة الأنا التي تشعّ من الداخل مع الموضع الذي يصير منه الألم مدخلاً للشفاء. تأتي النفس وقد انغرس في صلب هويتها جرح أصلي، فيشعر صاحب التركيب بأن ذاته تحمل فجوة لا تُسد، ومن تلك الفجوة يخرج فيما بعد قوس فدائه.,على المستوى التطوري، تختار النفس أن تتجسد ومبدأ الشمس ومبدأ كيرون ملتحمان في حزمة واحدة لتتعلم كيف يصيران فعلاً واحداً في إنسان حر. بحثت عن تجربة لا يمكن فيها فصل نواة الأنا التي تشعّ من الداخل عن الموضع الذي يصير منه الألم مدخلاً للشفاء، حتى يُشفى الفصل القديم على مستوى الكينونة. غالباً تحمل ذاكرة قديمة طغت فيها إحدى القوتين على الأخرى أو نفتها، فجاء هذا الميلاد ليُجبر على دمجهما داخل ذات لا تستطيع الهرب من نفسها. لا تُحَلّ التركيبة، فهي بنية لا أثر، بل تُسكَن بوعي، حتى يصير إشعاع الحضور الأصيل وحمل الجرح بوصفه ينبوع تعليم لا عار نَفَساً واحداً.,المهمة أن يَسكن الإنسان هذه الفصلة بوعي، لا أن يفصلها، فالقوتان لا تنفصلان. الخطر المتصلب يظهر حين تجمد التركيبة في عادة مغلقة، فيصير الحضور تصلب الصورة الذاتية في قالب رسمي بلا حرارة داخلية متشابكاً مع تجميد الذات في صورة الضحية المزمنة، وتفقد الهوية مرونتها. الخطر الوهمي يظهر حين ينجرف المرء في كثافة الالتحام فيقع في تضخم الأنا حتى تبتلع كل ما حولها مختلطاً بـتضخم في دور المعالج الذي ينسى جرحه. التوازن الحي يأتي حين تتنفس الأنا الحرة عبر القوتين معاً، فتُتقن إشعاع الحضور الأصيل وحمل الجرح بوصفه ينبوع تعليم لا عار كنغمة واحدة في المجال الذي تقع فيه التركيبة.,Reinhold Ebertin — Combination of Stellar Influences; Robert Hand — Horoscope Symbols; Melanie Reinhart — Chiron and the Healing Journey,filled,
